fare_id,route_id
0,0
1,1
2,2
3,3
4,0
5,1
6,4
7,5
8,5
9,6
10,4
11,7
12,6
13,7
14,8
15,9
16,9
17,10
18,11
19,2
20,12
21,13
22,13
23,14
24,14
25,15
26,15
27,16
28,12
29,10
30,17
31,17
32,18
33,19
34,20
35,20
36,21
37,21
38,22
39,22
40,23
41,23
42,24
43,25
44,25
45,26
46,26
47,27
48,27
49,28
50,28
51,29
52,29
53,30
54,31
55,31
56,32
57,33
58,34
59,34
60,35
61,35
62,36
63,36
64,37
65,37
66,38
67,38
68,11
69,39
70,39
71,40
72,40
73,41
74,41
75,42
76,42
77,43
78,44
79,13
80,45
81,45
82,46
83,46
84,47
85,47
86,48
87,48
88,49
89,50
90,50
91,51
92,52
93,52
94,53
95,54
96,54
97,55
98,55
99,56
100,56
101,57
102,57
103,58
104,58
105,59
106,59
107,60
108,60
109,61
110,61
111,51
112,53
113,62
114,62
115,63
116,63
117,64
118,64
119,65
120,65
121,66
122,66
123,67
124,67
125,68
126,68
127,69
128,69
129,16
130,70
131,70
132,71
133,71
134,72
135,33
136,73
137,74
138,74
139,74
140,74
141,74
142,74
143,75
144,75
145,75
146,75
147,6
148,6
149,76
150,76
151,8
152,8
153,77
154,77
155,78
156,78
157,79
158,80
159,80
160,73
161,75
162,75
163,75
164,75
165,81
166,81
167,81
168,81
169,82
170,82
171,82
172,82
173,82
174,82
175,83
176,83
177,83
178,83
179,43
180,73
181,84
182,84
183,85
184,86
185,86
186,86
187,86
188,87
189,87
190,88
191,88
192,88
193,88
194,89
195,89
196,28
197,28
198,24
199,90
200,90
201,90
202,90
203,90
204,30
205,91
206,30
207,25
208,25
209,92
210,92
211,92
212,92
213,92
214,92
215,13
216,93
217,94
218,95
219,95
220,96
221,96
222,97
223,97
224,98
225,98
226,99
227,99
228,100
229,101
230,101
231,102
232,102
233,103
234,103
235,49
236,31
237,104
238,105
239,105
240,105
241,105
242,106
243,106
244,106
245,106
246,107
247,107
248,25
249,25
250,108
251,109
252,109
253,110
254,110
255,111
256,111
257,3
258,112
259,112
260,113
261,114
262,114
263,113
264,115
265,115
266,116
267,116
268,116
269,117
270,94
271,118
272,32
273,93
274,72
275,119
276,119
277,91
278,120
279,120
280,44
281,90
282,31
283,85
284,30
285,108
286,79
287,8
288,10
289,10
290,121
291,121
292,122
293,122
294,123
295,123
296,124
297,124
298,125
299,125
300,126
301,126
302,13
303,13
304,2
305,2
306,2
307,2
308,6
309,6
310,111
311,111
312,111
313,111
314,111
315,111
316,3
317,3
318,3
319,3
320,3
321,3
322,80
323,80
324,80
325,80
326,80
327,80
328,80
329,80
330,79
331,79
332,79
333,79
334,79
335,79
336,112
337,112
338,112
339,112
340,112
341,112
342,112
343,112
344,112
345,112
346,112
347,112
348,8
349,77
350,2
351,2
352,77
353,8
354,8
355,8
356,8
357,8
358,8
359,8
360,8
361,8
362,120
363,120
364,120
365,120
366,120
367,120
368,120
369,120
370,120
371,120
372,120
373,120
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,113
387,113
388,113
389,113
390,105
391,105
392,127
393,97
394,97
395,62
396,62
397,62
398,62
399,62
400,62
401,62
402,62
403,110
404,110
405,110
406,110
407,110
408,110
409,116
410,116
411,116
412,116
413,116
414,116
415,105
416,105
417,90
418,90
419,128
420,18
421,19
422,73
423,100
424,118
425,62
426,76
427,76
428,62
429,76
430,76
431,76
432,76
433,127
434,0
435,0
436,32
437,32
438,58
439,58
440,129
441,35
442,35
443,130
444,130
445,105
446,105
447,105
448,105
449,105
450,105
451,105
452,105
453,105
454,105
455,105
456,105
457,105
458,105
459,105
460,105
461,131
462,131
463,131
464,131
465,58
466,58
467,132
468,48
469,133
470,134
471,132
472,135
473,136
474,16
475,16
476,54
477,54
478,54
479,54
480,54
481,54
482,113
483,113
484,127
485,127
486,28
487,28
488,28
489,28
490,28
491,28
492,81
493,81
494,81
495,81
496,81
497,81
498,137
499,137
500,127
501,127
502,138
503,138
504,137
505,137
506,81
507,81
508,108
509,116
510,116
511,117
512,62
513,62
514,62
515,62
516,62
517,116
518,116
519,116
520,116
521,116
522,116
523,116
524,116
525,116
526,116
527,116
528,116
529,116
530,116
531,116
532,116
533,62
534,62
535,62
536,62
537,62
538,62
539,62
540,76
541,76
542,76
543,76
544,76
545,76
546,76
547,76
548,62
549,76
550,76
551,62
552,76
553,76
554,62
555,62
556,76
557,76
558,76
559,76
560,76
561,76
562,76
563,76
564,76
565,63
566,63
567,63
568,63
569,63
570,76
571,116
572,76
573,76
574,76
575,76
576,76
577,76
578,76
579,76
580,76
581,76
582,76
583,139
584,139
585,76
586,76
587,76
588,76
589,76
590,76
591,116
592,36
593,36
594,110
595,140
596,110
597,110
598,110
599,110
600,110
601,110
602,110
603,110
604,110
605,110
606,110
607,110
