stop_id,stop_name,stop_lat,stop_lon,stop_desc
809705197,Calle Canichana y Calle 23 de Enero,-17.3738757,-66.1913803,2(0-75)
11115611725,Calle 23 de Enero,-17.3744546,-66.19022,1(0)
809705404,Calle 23 de Enero y Calle Chiriguano,-17.3746342,-66.1898558,4(0-56-72-75)
698492254,Calle Urpi y Calle 23 de Enero,-17.3751055,-66.1891853,2(0-72)
809705478,Calle 23 de Enero,-17.3751995,-66.1887355,2(0-72)
10672725620,Calle 23 de Enero,-17.3753534,-66.187968,2(0-72)
698492251,Calle 23 de Enero y Avenida Thunupa,-17.3754454,-66.1875011,6(0-12-54-70-72-94)
10672725615,Avenida Thunupa,-17.375363,-66.1874817,5(0-54-70-72-94)
10672725616,Avenida Thunupa,-17.3749779,-66.1873911,5(0-54-70-72-94)
809705550,Avenida Thunupa y Calle Arawaqui,-17.374906,-66.1873742,5(0-54-70-72-94)
682384953,Avenida Thunupa y Calle Yuracaré,-17.3741609,-66.187205,4(0-54-70-94)
2938510370,Avenida Thunupa,-17.3740699,-66.187184,3(0-54-70)
10672282909,Avenida Thunupa,-17.3739028,-66.187147,3(0-54-70)
10672282932,Avenida Thunupa,-17.3736597,-66.1870932,3(0-54-70)
10672282908,Avenida Thunupa,-17.3736248,-66.1870887,3(0-54-70)
682384954,Avenida Thunupa,-17.3735981,-66.1870962,3(0-54-70)
10672282970,Avenida Thunupa,-17.3731996,-66.18731,3(0-54-70)
2938510369,Avenida Thunupa,-17.3731043,-66.1873612,3(0-54-70)
809705205,Avenida Thunupa y Calle Movima,-17.3728838,-66.1874811,4(0-54-70-72)
809705449,Avenida Thunupa,-17.3725207,-66.1876934,4(0-54-70-72)
2938510368,Avenida Thunupa,-17.3721866,-66.1878813,4(0-54-70-72)
2938510364,Avenida Thunupa,-17.3716029,-66.1882027,4(0-54-70-72)
809705601,Avenida Thunupa,-17.3715585,-66.1882264,4(0-54-70-72)
682384955,Avenida Thunupa y Avenida América,-17.370924,-66.1885727,7(0-125-24-51-54-70-72)
8562130440,Avenida América,-17.3711516,-66.1847769,4(0-125-24-51)
721099139,Avenida América y Calle Andrés Corsino Ferrufino,-17.3711598,-66.1846805,5(0-125-24-25-51)
721099141,Avenida América,-17.3711797,-66.1844961,5(0-125-24-25-51)
2518322651,Avenida América,-17.3712006,-66.1843919,5(0-125-24-25-51)
2518322698,Avenida América,-17.3713086,-66.1840488,5(0-125-24-25-51)
8562130452,Avenida América y Rotonda América y Juan de la Rosa,-17.3713251,-66.183987,6(0-125-24-25-51-87)
8562130427,Rotonda América y Juan de la Rosa,-17.3713471,-66.1839131,6(0-125-24-25-51-87)
9918289474,Rotonda América y Juan de la Rosa,-17.3713622,-66.1838569,6(0-125-24-25-51-87)
8562130444,Rotonda América y Juan de la Rosa y Avenida Juan de la Rosa,-17.3713739,-66.1838007,6(0-125-24-25-51-87)
9948558257,Rotonda América y Juan de la Rosa,-17.371368,-66.1835979,4(0-24-51-87)
8562130458,Rotonda América y Juan de la Rosa,-17.3713572,-66.1835476,4(0-24-51-87)
9740540992,Rotonda América y Juan de la Rosa,-17.3713396,-66.1834936,4(0-24-51-87)
